#kx	ky	kz
6.3195721e-01 0.0000000e+00 0.0000000e+00
6.2513067e-01 2.8187204e-02 0.0000000e+00
6.0923614e-01 5.2655334e-02 0.0000000e+00
5.8944960e-01 7.4169748e-02 0.0000000e+00
5.6794301e-01 9.3982254e-02 0.0000000e+00
5.4560968e-01 1.1286264e-01 0.0000000e+00
5.2288451e-01 1.3127088e-01 0.0000000e+00
5.0000941e-01 1.4949283e-01 0.0000000e+00
4.7713533e-01 1.6771609e-01 0.0000000e+00
4.5436495e-01 1.8606865e-01 0.0000000e+00
4.3177414e-01 2.0464169e-01 0.0000000e+00
4.0941900e-01 2.2349763e-01 0.0000000e+00
3.8734449e-01 2.4268125e-01 0.0000000e+00
3.6558507e-01 2.6222146e-01 0.0000000e+00
3.4416790e-01 2.8213616e-01 0.0000000e+00
3.2311284e-01 3.0243328e-01 0.0000000e+00
3.0243328e-01 3.2311284e-01 0.0000000e+00
2.8213616e-01 3.4416790e-01 0.0000000e+00
2.6222146e-01 3.6558507e-01 0.0000000e+00
2.4268125e-01 3.8734449e-01 0.0000000e+00
2.2349763e-01 4.0941900e-01 0.0000000e+00
2.0464169e-01 4.3177414e-01 0.0000000e+00
1.8606865e-01 4.5436495e-01 0.0000000e+00
1.6771609e-01 4.7713533e-01 0.0000000e+00
1.4949283e-01 5.0000941e-01 0.0000000e+00
1.3127088e-01 5.2288451e-01 0.0000000e+00
1.1286264e-01 5.4560968e-01 0.0000000e+00
9.3982254e-02 5.6794301e-01 0.0000000e+00
7.4169748e-02 5.8944960e-01 0.0000000e+00
5.2655334e-02 6.0923614e-01 0.0000000e+00
2.8187204e-02 6.2513067e-01 0.0000000e+00
3.8696218e-17 -6.3195721e-01 0.0000000e+00
2.8187204e-02 -6.2513067e-01 0.0000000e+00
5.2655334e-02 -6.0923614e-01 0.0000000e+00
7.4169748e-02 -5.8944960e-01 0.0000000e+00
9.3982254e-02 -5.6794301e-01 0.0000000e+00
1.1286264e-01 -5.4560968e-01 0.0000000e+00
1.3127088e-01 -5.2288451e-01 0.0000000e+00
1.4949283e-01 -5.0000941e-01 0.0000000e+00
1.6771609e-01 -4.7713533e-01 0.0000000e+00
1.8606865e-01 -4.5436495e-01 0.0000000e+00
2.0464169e-01 -4.3177414e-01 0.0000000e+00
2.2349763e-01 -4.0941900e-01 0.0000000e+00
2.4268125e-01 -3.8734449e-01 0.0000000e+00
2.6222146e-01 -3.6558507e-01 0.0000000e+00
2.8213616e-01 -3.4416790e-01 0.0000000e+00
3.0243328e-01 -3.2311284e-01 0.0000000e+00
3.2311284e-01 -3.0243328e-01 0.0000000e+00
3.4416790e-01 -2.8213616e-01 0.0000000e+00
3.6558507e-01 -2.6222146e-01 0.0000000e+00
3.8734449e-01 -2.4268125e-01 0.0000000e+00
4.0941900e-01 -2.2349763e-01 0.0000000e+00
4.3177414e-01 -2.0464169e-01 0.0000000e+00
4.5436495e-01 -1.8606865e-01 0.0000000e+00
4.7713533e-01 -1.6771609e-01 0.0000000e+00
5.0000941e-01 -1.4949283e-01 0.0000000e+00
5.2288451e-01 -1.3127088e-01 0.0000000e+00
5.4560968e-01 -1.1286264e-01 0.0000000e+00
5.6794301e-01 -9.3982254e-02 0.0000000e+00
5.8944960e-01 -7.4169748e-02 0.0000000e+00
6.0923614e-01 -5.2655334e-02 0.0000000e+00
6.2513067e-01 -2.8187204e-02 0.0000000e+00
-6.3195721e-01 -7.7392437e-17 0.0000000e+00
-6.2513067e-01 -2.8187204e-02 0.0000000e+00
-6.0923614e-01 -5.2655334e-02 0.0000000e+00
-5.8944960e-01 -7.4169748e-02 0.0000000e+00
-5.6794301e-01 -9.3982254e-02 0.0000000e+00
-5.4560968e-01 -1.1286264e-01 0.0000000e+00
-5.2288451e-01 -1.3127088e-01 0.0000000e+00
-5.0000941e-01 -1.4949283e-01 0.0000000e+00
-4.7713533e-01 -1.6771609e-01 0.0000000e+00
-4.5436495e-01 -1.8606865e-01 0.0000000e+00
-4.3177414e-01 -2.0464169e-01 0.0000000e+00
-4.0941900e-01 -2.2349763e-01 0.0000000e+00
-3.8734449e-01 -2.4268125e-01 0.0000000e+00
-3.6558507e-01 -2.6222146e-01 0.0000000e+00
-3.4416790e-01 -2.8213616e-01 0.0000000e+00
-3.2311284e-01 -3.0243328e-01 0.0000000e+00
-3.0243328e-01 -3.2311284e-01 0.0000000e+00
-2.8213616e-01 -3.4416790e-01 0.0000000e+00
-2.6222146e-01 -3.6558507e-01 0.0000000e+00
-2.4268125e-01 -3.8734449e-01 0.0000000e+00
-2.2349763e-01 -4.0941900e-01 0.0000000e+00
