#B[T]	rhoxx[microOhm.cm]	rhoxy[microOhm.cm]	RH[mm^3/C]
1.0000000e-01 1.4555506e+01 1.4555506e+01 6.5533042e-01
3.0000000e-01 1.4555511e+01 1.4555511e+01 6.5532972e-01
5.0000000e-01 1.4555519e+01 1.4555519e+01 6.5532832e-01
7.0000000e-01 1.4555532e+01 1.4555532e+01 6.5532623e-01
9.0000000e-01 1.4555550e+01 1.4555550e+01 6.5532343e-01
1.1000000e+00 1.4555572e+01 1.4555572e+01 6.5531994e-01
1.3000000e+00 1.4555598e+01 1.4555598e+01 6.5531574e-01
1.5000000e+00 1.4555628e+01 1.4555628e+01 6.5531085e-01
1.7000000e+00 1.4555663e+01 1.4555663e+01 6.5530526e-01
1.9000000e+00 1.4555702e+01 1.4555702e+01 6.5529898e-01
2.1000000e+00 1.4555745e+01 1.4555745e+01 6.5529200e-01
2.3000000e+00 1.4555793e+01 1.4555793e+01 6.5528432e-01
2.5000000e+00 1.4555845e+01 1.4555845e+01 6.5527595e-01
2.7000000e+00 1.4555901e+01 1.4555901e+01 6.5526689e-01
2.9000000e+00 1.4555962e+01 1.4555962e+01 6.5525714e-01
3.1000000e+00 1.4556027e+01 1.4556027e+01 6.5524670e-01
3.3000000e+00 1.4556096e+01 1.4556096e+01 6.5523558e-01
3.5000000e+00 1.4556169e+01 1.4556169e+01 6.5522376e-01
3.7000000e+00 1.4556247e+01 1.4556247e+01 6.5521127e-01
3.9000000e+00 1.4556329e+01 1.4556329e+01 6.5519809e-01
4.1000000e+00 1.4556415e+01 1.4556415e+01 6.5518424e-01
4.3000000e+00 1.4556505e+01 1.4556505e+01 6.5516971e-01
4.5000000e+00 1.4556599e+01 1.4556599e+01 6.5515450e-01
4.7000000e+00 1.4556697e+01 1.4556697e+01 6.5513862e-01
4.9000000e+00 1.4556800e+01 1.4556800e+01 6.5512207e-01
5.1000000e+00 1.4556907e+01 1.4556907e+01 6.5510486e-01
5.3000000e+00 1.4557018e+01 1.4557018e+01 6.5508698e-01
5.5000000e+00 1.4557132e+01 1.4557132e+01 6.5506844e-01
5.7000000e+00 1.4557251e+01 1.4557251e+01 6.5504925e-01
5.9000000e+00 1.4557374e+01 1.4557374e+01 6.5502940e-01
6.1000000e+00 1.4557501e+01 1.4557501e+01 6.5500890e-01
6.3000000e+00 1.4557632e+01 1.4557632e+01 6.5498775e-01
6.5000000e+00 1.4557767e+01 1.4557767e+01 6.5496595e-01
6.7000000e+00 1.4557906e+01 1.4557906e+01 6.5494352e-01
6.9000000e+00 1.4558048e+01 1.4558048e+01 6.5492045e-01
7.1000000e+00 1.4558195e+01 1.4558195e+01 6.5489675e-01
7.3000000e+00 1.4558345e+01 1.4558345e+01 6.5487242e-01
7.5000000e+00 1.4558499e+01 1.4558499e+01 6.5484746e-01
7.7000000e+00 1.4558657e+01 1.4558657e+01 6.5482188e-01
7.9000000e+00 1.4558819e+01 1.4558819e+01 6.5479569e-01
8.1000000e+00 1.4558985e+01 1.4558985e+01 6.5476888e-01
8.3000000e+00 1.4559154e+01 1.4559154e+01 6.5474147e-01
8.5000000e+00 1.4559327e+01 1.4559327e+01 6.5471345e-01
8.7000000e+00 1.4559503e+01 1.4559503e+01 6.5468484e-01
8.9000000e+00 1.4559684e+01 1.4559684e+01 6.5466746e-01
9.1000000e+00 1.4559868e+01 1.4559868e+01 6.5465366e-01
9.3000000e+00 1.4560055e+01 1.4560055e+01 6.5463980e-01
9.5000000e+00 1.4560247e+01 1.4560247e+01 6.5462590e-01
9.7000000e+00 1.4560442e+01 1.4560442e+01 6.5461197e-01
9.9000000e+00 1.4560640e+01 1.4560640e+01 6.5459699e-01
