#theta[deg]	rhozz(theta)/rhozz(0)
0.0000000e+00 1.0000000e+00
1.0471976e-01 1.0810554e+00
2.0943951e-01 1.3448747e+00
3.1415927e-01 1.8185026e+00
4.1887902e-01 2.3189859e+00
5.2359878e-01 2.2351816e+00
6.2831853e-01 1.7118404e+00
7.3303829e-01 1.4820899e+00
8.3775804e-01 1.7120419e+00
9.4247780e-01 2.2309416e+00
1.0471976e+00 2.2073966e+00
1.1519173e+00 2.3461595e+00
1.2566371e+00 2.3441936e+00
1.3613568e+00 2.3305683e+00
1.4660766e+00 2.2610823e+00
1.5707963e+00 2.3375732e+00
1.6755161e+00 2.4045123e+00
1.7802358e+00 2.4445941e+00
1.8849556e+00 2.4942624e+00
1.9896753e+00 2.5053844e+00
2.0943951e+00 2.3153007e+00
2.1991149e+00 2.3783527e+00
2.3038346e+00 1.7678811e+00
2.4085544e+00 1.5011423e+00
2.5132741e+00 1.7520596e+00
2.6179939e+00 2.3612824e+00
2.7227136e+00 2.4745213e+00
2.8274334e+00 1.8948487e+00
2.9321531e+00 1.3684553e+00
3.0368729e+00 1.0854870e+00
3.1415927e+00 1.0000000e+00
