#theta[deg]	rhozz(theta)/rhozz(0)
0.0000000e+00 1.0000000e+00
1.0471976e-01 1.0000054e+00
2.0943951e-01 1.0000212e+00
3.1415927e-01 1.0000468e+00
4.1887902e-01 1.0000811e+00
5.2359878e-01 1.0001226e+00
6.2831853e-01 1.0001695e+00
7.3303829e-01 1.0002198e+00
8.3775804e-01 1.0002713e+00
9.4247780e-01 1.0003218e+00
1.0471976e+00 1.0003690e+00
1.1519173e+00 1.0004109e+00
1.2566371e+00 1.0004456e+00
1.3613568e+00 1.0004717e+00
1.4660766e+00 1.0004879e+00
1.5707963e+00 1.0004936e+00
1.6755161e+00 1.0004885e+00
1.7802358e+00 1.0004728e+00
1.8849556e+00 1.0004472e+00
1.9896753e+00 1.0004128e+00
2.0943951e+00 1.0003711e+00
2.1991149e+00 1.0003239e+00
2.3038346e+00 1.0002734e+00
2.4085544e+00 1.0002217e+00
2.5132741e+00 1.0001711e+00
2.6179939e+00 1.0001238e+00
2.7227136e+00 1.0000820e+00
2.8274334e+00 1.0000473e+00
2.9321531e+00 1.0000214e+00
3.0368729e+00 1.0000054e+00
3.1415927e+00 1.0000000e+00
