#theta[deg]	rhozz(theta)/rhozz(0)	B	tau	mu	t	tp	tpp	tz	mesh_xy	mesh_z
0.0000000e+00 1.0000000e+00 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
1.0471976e-01 9.9233795e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
2.0943951e-01 9.6882996e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
3.1415927e-01 9.3115915e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
4.1887902e-01 8.8212332e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
5.2359878e-01 8.2530247e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
6.2831853e-01 7.6460683e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
7.3303829e-01 7.0381871e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
8.3775804e-01 6.4601518e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
9.4247780e-01 5.9277991e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
1.0471976e+00 5.4322284e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
1.1519173e+00 4.9260455e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
1.2566371e+00 4.3505969e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
1.3613568e+00 3.7783312e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
1.4660766e+00 3.4677690e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
1.5707963e+00 3.4119193e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
1.6755161e+00 3.4658989e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
1.7802358e+00 3.7797599e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
1.8849556e+00 4.3549813e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
1.9896753e+00 4.9269958e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
2.0943951e+00 5.4277827e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
2.1991149e+00 5.9164418e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
2.3038346e+00 6.4387852e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
2.4085544e+00 7.0037338e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
2.5132741e+00 7.5971355e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
2.6179939e+00 8.1912400e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
2.7227136e+00 8.7515199e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
2.8274334e+00 9.2414457e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
2.9321531e+00 9.6263601e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
3.0368729e+00 9.8777245e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
3.1415927e+00 9.9765468e-01 2.0000000e-02 5.0000000e+01 7.0000000e-01 1.0000000e+00 -1.4000000e-01 7.0000000e-02 7.0000000e-02 5.6000000e+01 1.1000000e+01
