#theta[deg]	rzz(phi=0)	rzz(phi=15)	rzz(phi=30)	rzz(phi=45)	B[T]	gamma_0[THz]	gamma_k[THz]	power	t[meV]	tp	tpp	tz	tz2	mu	mesh_ds	mesh_z
0.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 4.5000000e+01 1.5000000e+01 6.7900000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.9100000e-01 2.0943951e-01 7.0000000e+00
5.0000000e+00 1.0001958e+00 1.0001955e+00 1.0001952e+00 1.0001951e+00 4.5000000e+01 1.5000000e+01 6.7900000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.9100000e-01 2.0943951e-01 7.0000000e+00
1.0000000e+01 1.0007580e+00 1.0007553e+00 1.0007503e+00 1.0007478e+00 4.5000000e+01 1.5000000e+01 6.7900000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.9100000e-01 2.0943951e-01 7.0000000e+00
1.5000000e+01 1.0016095e+00 1.0015970e+00 1.0015721e+00 1.0015598e+00 4.5000000e+01 1.5000000e+01 6.7900000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.9100000e-01 2.0943951e-01 7.0000000e+00
2.0000000e+01 1.0026309e+00 1.0025938e+00 1.0025196e+00 1.0024826e+00 4.5000000e+01 1.5000000e+01 6.7900000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.9100000e-01 2.0943951e-01 7.0000000e+00
2.5000000e+01 1.0036639e+00 1.0035804e+00 1.0034128e+00 1.0033291e+00 4.5000000e+01 1.5000000e+01 6.7900000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.9100000e-01 2.0943951e-01 7.0000000e+00
3.0000000e+01 1.0045265e+00 1.0043700e+00 1.0040563e+00 1.0038994e+00 4.5000000e+01 1.5000000e+01 6.7900000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.9100000e-01 2.0943951e-01 7.0000000e+00
3.5000000e+01 1.0050326e+00 1.0047786e+00 1.0042690e+00 1.0040137e+00 4.5000000e+01 1.5000000e+01 6.7900000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.9100000e-01 2.0943951e-01 7.0000000e+00
4.0000000e+01 1.0050214e+00 1.0046553e+00 1.0039196e+00 1.0035502e+00 4.5000000e+01 1.5000000e+01 6.7900000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.9100000e-01 2.0943951e-01 7.0000000e+00
4.5000000e+01 1.0043949e+00 1.0039209e+00 1.0029651e+00 1.0024833e+00 4.5000000e+01 1.5000000e+01 6.7900000e+01 1.2000000e+01 1.9000000e+02 -1.4000000e-01 7.0000000e-02 7.0000000e-02 0.0000000e+00 -8.9100000e-01 2.0943951e-01 7.0000000e+00
